brother	ali1	fatma
brother	ali1	ismail
brother	ali1	mehmet1
brother	ali1	neriman
brother	ali1	nesrin
brother	ali2	mete
brother	ali2	sevcan
brother	alp	batuhan
brother	anil	secil
brother	batuhan	alp
brother	cagdas	melis
brother	erdem	nida
brother	halis	murat2
brother	ismail	ali1
brother	ismail	fatma
brother	ismail	mehmet1
brother	ismail	neriman
brother	ismail	nesrin
brother	mehmet1	ali1
brother	mehmet1	fatma
brother	mehmet1	ismail
brother	mehmet1	neriman
brother	mehmet1	nesrin
brother	mete	ali2
brother	mete	sevcan
brother	murat1	mediha2
brother	murat2	halis
brother	sadullah	firdevs
brother	sadullah	yildirim
brother	yildirim	firdevs
brother	yildirim	sadullah
brother	yusuf2	dilber
brother	yusuf3	zeynep
daughter	dilber	ali1
daughter	dilber	ayse
daughter	dilek	cemile
daughter	dilek	mehmet1
daughter	esra	sibel
daughter	esra	yusuf2
daughter	fatma	mediha1
daughter	fatma	yusuf1
daughter	firdevs	huseyin
daughter	firdevs	neriman
daughter	kubra	cemile
daughter	kubra	mehmet1
daughter	mediha2	ayten
daughter	mediha2	ismail
daughter	melis	nalan
daughter	melis	sadullah
daughter	neriman	mediha1
daughter	neriman	yusuf1
daughter	nesrin	mediha1
daughter	nesrin	yusuf1
daughter	nida	kubra
daughter	nida	muhammer
daughter	secil	firdevs
daughter	secil	levent
daughter	sevcan	fatma
daughter	sevcan	mehmet2
daughter	zeynep	bedriye
daughter	zeynep	yildirim
elti	ayse	ayten
elti	ayse	cemile
elti	ayten	ayse
elti	ayten	cemile
elti	bedriye	nalan
elti	cemile	ayse
elti	cemile	ayten
elti	nalan	bedriye
father	ali1	dilber
father	ali1	yusuf2
father	gunay	halis
father	gunay	murat2
father	huseyin	firdevs
father	huseyin	sadullah
father	huseyin	yildirim
father	ismail	mediha2
father	ismail	murat1
father	levent	anil
father	levent	secil
father	mehmet1	dilek
father	mehmet1	kubra
father	mehmet2	ali2
father	mehmet2	mete
father	mehmet2	sevcan
father	muhammer	erdem
father	muhammer	nida
father	muhittin	yavuz
father	recep	alp
father	recep	batuhan
father	sadullah	cagdas
father	sadullah	melis
father	yildirim	yusuf3
father	yildirim	zeynep
father	yusuf1	ali1
father	yusuf1	fatma
father	yusuf1	ismail
father	yusuf1	mehmet1
father	yusuf1	neriman
father	yusuf1	nesrin
father	yusuf2	esra
husband	ali1	ayse
husband	gunay	nesrin
husband	huseyin	neriman
husband	ismail	ayten
husband	levent	firdevs
husband	mehmet1	cemile
husband	mehmet2	fatma
husband	muhammer	kubra
husband	muhittin	dilber
husband	recep	mediha2
husband	sadullah	nalan
husband	yildirim	bedriye
